회차,1,2,3,4,5,6,보너스,당첨금액
439,17,20,30,31,37,40,25,1900077375
438,6,12,20,26,29,38,45,1377142167
437,11,16,29,38,41,44,21,2096245438
436,9,14,20,22,33,34,28,1512266579
435,8,16,26,30,38,45,42,1287550013
434,3,13,20,24,33,37,35,1480060266
433,19,23,29,33,35,43,27,1182294410
432,2,3,5,11,27,39,33,2299427550
431,18,22,25,31,38,45,6,1268434013
430,1,3,16,18,30,34,44,1611763219
429,3,23,28,34,39,42,16,1485904709
428,12,16,19,22,37,40,8,1437683209
427,6,7,15,24,28,30,21,12571445625
426,4,17,18,27,39,43,19,3057233625
425,8,10,14,27,33,38,3,1534833000
424,10,11,26,31,34,44,30,1109480813
423,1,17,27,28,29,40,5,3896153875
422,8,15,19,21,34,44,12,2205251375
421,6,11,26,27,28,44,30,2321144325
420,4,9,10,29,31,34,27,1424856375
419,2,11,13,14,28,30,7,3796490750
418,11,13,15,26,28,34,31,1435649766
417,4,5,14,20,22,43,44,2818329938
416,5,6,8,11,22,26,44,1072037100
415,7,17,20,26,30,40,24,1334182407
414,2,14,15,22,23,44,43,11703832500
413,2,9,15,23,34,40,3,2814673500
412,4,7,39,41,42,45,40,1656199822
411,11,14,22,35,37,39,5,953227563
410,1,3,18,32,40,41,16,1249335709
409,6,9,21,31,32,40,38,2896989750
408,9,20,21,22,30,37,16,2235375825
407,6,7,13,16,24,25,1,1649707286
406,7,12,21,24,27,36,45,2156142450
405,1,2,10,25,26,44,4,3543878000
404,5,20,21,24,33,40,36,3566659375
403,10,14,22,24,28,37,26,2122396875
402,5,9,15,19,22,36,32,2662206188
401,6,12,18,31,38,43,9,1168214792
400,9,21,27,34,41,43,2,2669834325
399,1,2,9,17,19,42,20,1276854975
398,10,15,20,23,42,44,7,2680625550
397,12,13,17,22,25,33,8,3499519700
396,18,20,31,34,40,45,30,5296622400
395,11,15,20,26,31,35,7,1534635000
394,1,13,20,22,25,28,15,10654349100
393,9,16,28,40,41,43,21,1362003975
392,1,3,7,8,24,42,43,1713528700
391,10,11,18,22,28,39,30,10508749800
390,16,17,28,37,39,40,15,10373997900
389,7,16,18,20,23,26,3,2119027020
388,1,8,9,17,29,32,45,2545543875
387,1,26,31,34,40,43,20,2675533500
386,4,7,10,19,31,40,26,1042953330
385,7,12,19,21,29,32,9,1542032700
384,11,22,24,32,36,38,7,3658734200
383,4,15,28,33,37,40,25,3596522100
382,10,15,22,24,27,42,19,1846674900
381,1,5,10,12,16,20,11,565738895
380,1,2,8,17,26,37,27,2684274825
379,6,10,22,31,35,40,19,1598999786
378,5,22,29,31,34,39,43,2317698240
377,6,22,29,37,43,45,23,3912085400
376,1,11,13,24,28,40,7,1956915800
375,4,8,19,25,27,45,7,1581284058
374,11,13,15,17,25,34,26,5528717850
373,15,26,37,42,43,45,9,2791801125
372,8,11,14,16,18,21,13,1192593200
371,7,9,15,26,27,42,18,1524130543
370,16,18,24,42,44,45,17,1678941943
369,17,20,35,36,41,43,21,1842177750
368,11,21,24,30,39,45,26,1465825115
367,3,22,25,29,32,44,19,1581736586
366,5,12,19,26,27,44,38,5351553900
365,5,15,21,25,26,30,31,10697716800
364,2,5,7,14,16,40,4,2531914800
363,11,12,14,21,32,38,6,2615910600
362,2,3,22,27,30,40,29,1729424650
361,5,10,16,24,27,35,33,1473115115
360,4,16,23,25,35,40,27,3566716200
359,1,10,19,20,24,40,23,1286712600
358,1,9,10,12,21,40,37,3472654900
357,10,14,18,21,36,37,5,5313394350
356,2,8,14,25,29,45,24,1157185267
355,5,8,29,30,35,44,38,2145424800
354,14,19,36,43,44,45,1,2124464340
353,11,16,19,22,29,36,26,5290838250
352,5,16,17,20,26,41,24,1732858250
351,5,25,27,29,34,36,33,2583357150
350,1,8,18,24,29,33,35,1101052467
349,5,13,14,20,24,25,36,3353209000
348,3,14,17,20,24,31,34,3299994000
347,3,8,13,27,32,42,10,1456624286
346,5,13,14,22,44,45,33,2017727340
345,15,20,23,29,39,42,2,5203577550
344,1,2,15,28,34,45,38,1467106543
343,1,10,17,29,31,43,15,1717153000
342,1,13,14,33,34,43,25,3454095800
341,1,8,19,34,39,43,41,1497207772
340,18,24,26,29,34,38,32,1439393186
339,6,8,14,21,30,37,45,1096778334
338,2,13,34,38,42,45,16,3383431000
337,1,5,14,18,32,37,4,1257500513
336,3,5,20,34,35,44,16,1685632650
335,5,9,16,23,26,45,21,2037492480
334,13,15,21,29,39,43,33,1523002972
333,5,14,27,30,39,43,35,1550987143
332,16,17,34,36,42,45,3,1359448388
331,4,9,14,26,31,44,39,2165902620
330,3,4,16,17,19,20,23,1162280200
329,9,17,19,30,35,42,4,1830391200
328,1,6,9,16,17,28,24,1819795900
327,6,12,13,17,32,44,24,882674750
326,16,23,25,33,36,39,40,1832134550
325,7,17,20,32,44,45,33,1806122450
324,2,4,21,25,33,36,17,1865130350
323,10,14,15,32,36,42,3,1461025388
322,9,18,29,32,38,43,20,1904544700
321,12,18,20,21,25,34,42,1959136100
320,16,19,23,25,41,45,3,5513067900
319,5,8,22,28,33,42,37,2135659380
318,2,17,19,20,34,45,21,1207436600
317,3,10,11,22,36,39,8,2576258550
316,10,11,21,27,31,39,43,1673586400
315,1,13,33,35,43,45,23,1308728625
314,15,17,19,34,38,41,2,1660512200
313,9,17,34,35,43,45,2,1715422800
312,2,3,5,6,12,20,25,629017820
311,4,12,24,27,28,32,10,1237691063
310,1,5,19,28,34,41,16,1296713325
309,1,2,5,11,18,36,22,901622946
308,14,15,17,19,37,45,40,10232872800
307,5,15,21,23,25,45,12,2587643250
306,4,18,23,30,34,41,19,2102669520
305,7,8,18,21,23,39,9,2008210140
304,4,10,16,26,33,41,38,1661646150
303,2,14,17,30,38,45,43,1672749000
302,13,19,20,32,38,42,4,5472167250
301,7,11,13,33,37,43,26,1447385015
300,7,9,10,12,26,38,39,836092425
299,1,3,20,25,36,45,24,1483772529
298,5,9,27,29,37,40,19,9909778500
297,6,11,19,20,28,32,34,5056668750
296,3,8,15,27,30,45,44,3066088275
295,1,4,12,16,18,38,8,0
294,6,10,17,30,37,38,40,2406504975
293,1,9,17,21,29,33,24,1656764400
292,17,18,31,32,33,34,10,720373950
291,3,7,8,18,20,42,45,1450585200
290,8,13,18,32,39,45,7,2149214424
289,3,14,33,37,38,42,10,0
288,1,12,17,28,35,41,10,2357261550
287,6,12,24,27,35,37,41,1328657100
286,1,15,19,40,42,44,17,3236566300
285,13,33,37,40,41,45,2,3164370100
284,2,7,15,24,30,45,28,3117640300
283,6,8,18,31,38,45,42,3137224600
282,2,5,10,18,31,32,30,1322052643
281,1,3,4,6,14,41,12,1554683200
280,10,11,23,24,36,37,35,1355258529
279,7,16,31,36,37,38,11,1914205320
278,3,11,37,39,41,43,13,3186530000
277,10,12,13,15,25,29,20,3272627800
276,4,15,21,33,39,41,25,3312569000
275,14,19,20,35,38,40,26,10044066900
274,13,14,15,26,35,39,25,2505085575
273,1,8,24,31,34,44,6,3339543100
272,7,9,12,27,39,43,28,1104622800
271,3,8,9,27,29,40,36,1565918150
270,5,9,12,20,21,26,27,1927830060
269,5,18,20,36,42,43,32,1961399940
268,3,10,19,24,32,45,12,1350954515
267,7,8,24,34,36,41,1,3257663300
266,3,4,9,11,22,42,37,3207211700
265,5,9,34,37,38,39,12,1200838575
264,9,16,27,36,41,44,5,1344889200
263,1,27,28,32,37,40,18,1551704900
262,9,12,24,25,29,31,36,4518741600
261,6,11,16,18,31,43,2,3192299100
260,7,12,15,24,37,40,43,2310085575
259,4,5,14,35,42,45,34,4838533500
258,14,27,30,31,38,40,17,2426434350
257,6,13,27,31,32,37,4,2391377025
256,4,11,14,21,23,43,32,4891017000
255,1,5,6,24,27,42,32,1598618550
254,1,5,19,20,24,30,27,9741015900
253,8,19,25,31,34,36,33,2466189525
252,14,23,26,31,39,45,28,1391089715
251,6,7,19,25,28,38,45,1282616400
250,19,23,30,37,43,45,38,1994726280
249,3,8,27,31,41,44,11,1663568700
248,3,8,17,23,38,45,13,1227479363
247,12,15,28,36,39,40,13,1669313900
246,13,18,21,23,26,39,15,1911774240
245,9,11,27,31,32,38,22,1382583129
244,13,16,25,36,37,38,19,9121583100
243,2,12,17,19,28,42,34,2408850000
242,4,19,20,21,32,34,43,1234542375
241,2,16,24,27,28,35,21,2552016300
240,6,10,16,40,41,43,21,5098251450
239,11,15,24,39,41,44,7,1134140167
238,2,4,15,28,31,34,35,1121660567
237,1,11,17,21,24,44,33,1440630729
236,1,4,8,13,37,39,7,5030040150
235,21,22,26,27,31,37,8,3433330100
234,13,21,22,24,26,37,4,2519743875
233,4,6,13,17,28,40,39,999153750
232,8,9,10,12,24,44,35,1110918400
231,5,10,19,31,44,45,27,1088365900
230,5,11,14,29,32,33,12,1292929163
229,4,5,9,11,23,38,35,1451441100
228,17,25,35,36,39,44,23,1146700334
227,4,5,15,16,22,42,2,5253542400
226,2,6,8,14,21,22,34,1744100150
225,5,11,13,19,31,36,7,1777201800
224,4,19,26,27,30,42,7,1808969950
223,1,3,18,20,26,27,38,1498170600
222,5,7,28,29,39,43,44,2275193820
221,2,20,33,35,37,40,10,1800104250
220,5,11,19,21,34,43,31,1958094950
219,4,11,20,26,35,37,16,1208409167
218,1,8,14,18,29,44,20,2779075800
217,16,20,27,33,35,39,38,1611246172
216,7,16,17,33,36,40,1,848506108
215,2,3,7,15,43,44,4,1587689615
214,5,7,20,25,28,37,32,1406980875
213,2,3,4,5,20,24,42,1376678025
212,11,12,18,21,31,38,8,2660747250
211,12,13,17,20,33,41,8,1035800250
210,10,19,22,23,25,37,39,5139085950
209,2,7,18,20,24,33,37,1660896350
208,14,25,31,34,40,44,24,1760767400
207,3,11,14,31,32,37,38,2104673760
206,1,2,3,15,20,25,43,2032859340
205,1,3,21,29,35,37,30,1835221800
204,3,12,14,35,40,45,5,1358347125
203,1,3,11,24,30,32,7,2164564740
202,12,14,27,33,39,44,17,1893391700
201,3,11,24,38,39,44,26,9719465400
200,5,6,13,14,17,20,7,1344616613
199,14,21,22,25,30,36,43,5344252200
198,12,19,20,25,41,45,2,1797855050
197,7,12,16,34,42,45,4,1803018300
196,35,36,37,41,44,45,30,727876520
195,7,10,19,22,35,40,31,918992591
194,15,20,23,26,39,44,28,2650567875
193,6,14,18,26,36,39,13,3404449700
192,4,8,11,18,37,45,33,2445348375
191,5,6,24,25,32,37,8,2577114675
190,8,14,18,30,31,44,15,1784159450
189,8,14,32,35,37,45,28,3461775100
188,19,24,27,30,31,34,36,3501405200
187,1,2,8,18,29,38,42,1544733900
186,4,10,14,19,21,45,9,1187882600
185,1,2,4,8,19,38,14,3522485800
184,1,2,6,16,20,33,41,1747753050
183,2,18,24,34,40,42,5,1777221500
182,13,15,27,29,34,40,35,3721439400
181,14,21,23,32,40,45,44,1941763300
180,2,15,20,21,29,34,22,5763371550
179,5,9,17,25,39,43,32,1081093920
178,1,5,11,12,18,23,9,2254621080
177,1,10,13,16,37,43,6,1693285500
176,4,17,30,32,33,34,15,2314663080
175,19,26,28,31,33,36,17,2371132620
174,13,14,18,22,35,39,16,1771103058
173,3,9,24,30,33,34,18,1487736788
172,4,19,21,24,26,41,35,1081154073
171,4,16,25,29,34,35,1,1961339700
170,2,11,13,15,31,42,10,1923108250
169,16,27,35,37,43,45,19,2482888380
168,3,10,31,40,42,43,30,2349946920
167,24,27,28,30,36,39,4,2491222920
166,9,12,27,36,39,45,14,1111299982
165,5,13,18,19,22,42,31,6767426700
164,6,9,10,11,39,41,27,4054937900
163,7,11,26,28,29,44,16,1629726515
162,1,5,21,25,38,41,24,2308265760
161,22,34,36,40,42,45,44,1996876272
160,3,7,8,34,39,41,1,5490805350
159,1,18,30,41,42,43,32,1755407300
158,4,9,13,18,21,34,7,1069544340
157,19,26,30,33,35,39,37,5484903750
156,5,18,28,30,42,45,2,1401099900
155,16,19,20,32,33,41,4,1193005734
154,6,19,21,35,40,45,20,2836628700
153,3,8,11,12,13,36,33,2730526125
152,1,5,13,26,29,34,43,2278131840
151,1,2,10,13,18,19,15,2716634025
150,2,18,25,28,37,39,16,2831645850
149,2,11,21,34,41,42,27,1639052143
148,21,25,33,34,35,36,17,2323596420
147,4,6,13,21,40,42,36,1700040215
146,2,19,27,35,41,42,25,6043415250
145,2,3,13,20,27,44,9,3797838200
144,4,15,17,26,36,37,43,1402440413
143,26,27,28,42,43,45,8,3954584700
142,12,16,30,34,40,44,19,1018265564
141,8,12,29,31,42,43,2,1900552400
140,3,13,17,18,19,28,8,2109462840
139,9,11,15,20,28,43,13,1650210215
138,10,11,27,28,37,39,19,2227152000
137,7,9,20,25,36,39,15,1270403467
136,2,16,30,36,41,42,11,1997694150
135,6,14,22,28,35,39,16,1717293515
134,3,12,20,23,31,35,43,2349155100
133,4,7,15,18,23,26,13,1450242600
132,3,17,23,34,41,45,43,2920473525
131,8,10,11,14,15,21,37,1451214488
130,7,19,24,27,42,45,31,3036496650
129,19,23,25,28,38,42,17,1093629655
128,12,30,34,36,37,45,39,2064043100
127,3,5,10,29,32,43,35,1965939150
126,7,20,22,27,40,43,1,1369301500
125,2,8,32,33,35,36,18,1754870786
124,4,16,23,25,29,42,1,1395936267
123,7,17,18,28,30,45,27,2532982680
122,1,11,16,17,36,40,8,1450073800
121,12,28,30,34,38,43,9,6839648100
120,4,6,10,11,32,37,30,4364530300
119,3,11,13,14,17,21,38,1474899400
118,3,4,10,17,19,22,38,1297989720
117,5,10,22,34,36,44,35,1558378334
116,2,4,25,31,34,37,17,1997747315
115,1,2,6,9,25,28,31,1488589567
114,11,14,19,26,28,41,2,2362345050
113,4,9,28,33,36,45,26,1561528934
112,26,29,30,33,41,42,43,1567271167
111,7,18,31,33,36,40,27,2199047450
110,7,20,22,23,29,43,1,4566262000
109,1,5,34,36,42,44,33,1246838200
108,7,18,22,23,29,44,12,1998900772
107,1,4,5,6,9,31,17,6679927800
106,4,10,12,22,24,33,29,810461157
105,8,10,20,34,41,45,28,3416781450
104,17,32,33,34,42,44,35,6610743750
103,5,14,15,27,30,45,10,1691589563
102,17,22,24,26,35,40,42,1457153067
101,1,3,17,32,35,45,8,2707297500
100,1,7,11,23,37,42,6,3315315525
99,1,3,10,27,29,37,11,2169219050
98,6,9,16,23,24,32,43,3177972300
97,6,7,14,15,20,36,3,1496214000
96,1,3,8,21,22,31,20,1847133515
95,8,17,27,31,34,43,14,1747741238
94,5,32,34,40,41,45,6,2245339950
93,6,22,24,36,38,44,19,2269178150
92,3,14,24,33,35,36,17,1233270846
91,1,21,24,26,29,42,27,3582902400
90,17,20,29,35,38,44,10,3291435300
89,4,26,28,29,33,40,37,4248321900
88,1,17,20,24,30,41,27,3069709650
87,4,12,16,23,34,43,26,1799358055
86,2,12,37,39,41,45,33,14252186400
85,6,8,13,23,31,36,21,3462109800
84,16,23,27,34,42,45,11,7669779000
83,6,10,15,17,19,34,14,7086948300
82,1,2,3,14,27,42,39,14562494400
81,5,7,11,13,20,33,6,2714288880
80,17,18,24,25,26,30,1,13809540000
79,3,12,24,27,30,32,14,3416443800
78,10,13,25,29,33,35,38,3519850000
77,2,18,29,32,43,44,37,5155758600
76,1,3,15,22,25,37,43,7451022600
75,2,5,24,32,34,44,28,3914616900
74,6,15,17,18,35,40,23,5284949800
73,3,12,18,32,40,43,38,2766662100
72,2,4,11,17,26,27,1,3260524600
71,5,9,12,16,29,41,21,0
70,5,19,22,25,28,43,26,5031277800
69,5,8,14,15,19,39,35,4962712200
68,10,12,15,16,26,39,38,2945882100
67,3,7,10,15,36,38,33,2114436500
66,2,3,7,17,22,24,45,3685138200
65,4,25,33,36,40,43,39,3727945800
64,14,15,18,21,26,36,39,3899818000
63,3,20,23,36,38,40,5,7922245500
62,3,8,15,27,29,35,21,15817286400
61,14,15,19,30,38,43,8,3541038800
60,2,8,25,36,39,42,11,2172504600
59,6,29,36,39,41,45,13,4127587300
58,10,24,25,33,40,44,1,3676429200
57,7,10,16,25,29,44,6,4114411900
56,10,14,30,31,33,37,19,3777570900
55,17,21,31,37,40,44,7,7088799600
54,1,8,21,27,36,39,37,5148626600
53,7,8,14,32,33,39,42,5014371000
52,2,4,15,16,20,29,1,3900844900
51,2,3,11,16,26,44,35,2421117000
50,2,10,12,15,22,44,1,5227061400
49,4,7,16,19,33,40,30,1967504600
48,6,10,18,26,37,38,3,2415673600
47,14,17,26,31,36,45,27,3250042400
46,8,13,15,23,31,38,39,5327758800
45,1,10,20,27,33,35,17,8356417800
44,3,11,21,30,38,45,39,3362155800
43,6,31,35,38,39,44,1,17749630800
42,17,18,19,21,23,32,1,6899280100
41,13,20,23,35,38,43,34,0
40,7,13,18,19,25,26,6,1147652400
39,6,7,13,15,21,43,8,2623748800
38,16,17,22,30,37,43,36,5374866400
37,7,27,30,33,35,37,42,4985999400
36,1,10,23,26,28,40,31,16014475800
35,2,3,11,26,37,43,39,5054598200
34,9,26,35,37,40,42,2,3056918000
33,4,7,32,33,40,41,9,14903517600
32,6,14,19,25,34,44,11,1634528300
31,7,9,18,23,28,35,32,8106672900
30,8,17,20,35,36,44,4,8728555500
29,1,5,13,34,39,40,11,3552594000
28,9,18,23,25,35,37,1,1700361100
27,1,20,26,28,37,43,27,9543982500
26,4,5,7,18,20,25,31,3495069900
25,2,4,21,26,43,44,16,24227745300
24,7,8,27,29,36,43,6,0
23,5,13,17,18,33,42,44,4317947700
22,4,5,6,8,17,39,25,4552194900
21,6,12,17,18,31,32,21,797475400
20,10,14,18,20,23,30,41,19352212800
19,6,30,38,39,40,43,26,40722959400
18,3,12,13,19,32,35,29,0
17,3,4,9,17,32,37,1,5349491200
16,6,7,24,37,38,40,33,4377146100
15,3,4,16,30,31,37,13,17014245000
14,2,6,12,31,33,40,15,9375048300
13,22,23,25,37,38,42,26,0
12,2,11,21,25,39,45,44,1348845700
11,1,7,36,37,41,42,14,4780152300
10,9,25,30,33,41,44,6,6430437900
9,2,4,16,17,36,39,14,0
8,8,19,25,34,37,39,9,0
7,2,9,16,25,26,40,42,0
6,14,15,26,27,40,42,34,6574451700
5,16,24,29,40,41,42,3,0
4,14,27,30,31,40,42,2,0
3,11,16,19,21,27,31,30,2000000000
2,9,13,21,25,32,42,2,2002006800
1,10,23,29,33,37,40,16,0
