회차,1,2,3,4,5,6,보너스,당첨금액
948,13,18,30,31,38,41,5,2188548716
947,3,8,17,20,27,35,26,1275855750
946,9,18,19,30,34,40,20,2157656182
945,9,10,15,30,33,37,26,1765554491
944,2,13,16,19,32,33,42,1961836356
943,1,8,13,36,44,45,39,3435045108
942,10,12,18,35,42,43,39,3761680313
941,12,14,25,27,39,40,35,1347297422
940,3,15,20,22,24,41,11,2846071079
939,4,11,28,39,42,45,6,1708363039
938,4,8,10,16,31,36,9,2249466563
937,2,10,13,22,29,40,26,2058420819
936,7,11,13,17,18,29,43,1492069179
935,4,10,20,32,38,44,18,1711055424
934,1,3,30,33,36,39,12,5765772844
933,23,27,29,31,36,45,37,2927797079
932,1,6,15,36,37,38,5,3390022983
931,14,15,23,25,35,43,32,2957108063
930,8,21,25,38,39,44,28,2832418829
929,7,9,12,15,19,23,4,1308035157
928,3,4,10,20,28,44,30,3134591358
927,4,15,22,38,41,43,26,3714203875
926,10,16,18,20,25,31,6,2032490663
925,13,24,32,34,39,42,4,1771080532
924,3,11,34,42,43,44,13,2382430667
923,3,17,18,23,36,41,26,2667554625
922,2,6,13,17,27,43,36,3417904500
921,5,7,12,22,28,41,1,1232573405
920,2,3,26,33,34,43,29,3120260197
919,9,14,17,18,42,44,35,4305150450
918,7,11,12,31,33,38,5,1117622646
917,1,3,23,24,27,43,34,2144799638
916,6,21,22,32,35,36,17,2025384341
915,2,6,11,13,22,37,14,3518640500
914,16,19,24,33,42,44,27,1950005557
913,6,14,16,21,27,37,40,1338755602
912,5,8,18,21,22,38,10,1493500581
911,4,5,12,14,32,42,35,2113538625
910,1,11,17,27,35,39,31,941316375
909,7,24,29,30,34,35,33,2021062875
908,3,16,21,22,23,44,30,2834856141
907,21,27,29,38,40,44,37,3165059036
906,2,5,14,28,31,32,20,2472607250
905,3,4,16,27,38,40,20,3017862536
904,2,6,8,26,43,45,11,2718077813
903,2,15,16,21,22,28,45,1684582212
902,7,19,23,24,36,39,30,1619317529
901,5,18,20,23,30,34,21,2267974667
900,7,13,16,18,35,38,14,3349851375
899,8,19,20,21,33,39,37,3359356063
898,18,21,28,35,37,42,17,2639313235
897,6,7,12,22,26,36,29,1619922520
896,5,12,25,26,38,45,23,3053222036
895,16,26,31,38,39,41,23,1928079219
894,19,32,37,40,41,43,45,2377935959
893,1,15,17,23,25,41,10,2377433625
892,4,9,17,18,26,42,36,1282017464
891,9,13,28,31,39,41,19,3082673947
890,1,4,14,18,29,37,6,2335486167
889,3,13,29,38,39,42,26,2108986950
888,3,7,12,31,34,38,32,2370359204
887,8,14,17,27,36,45,10,2535268688
886,19,23,28,37,42,45,2,2974643786
885,1,3,24,27,39,45,31,1543832568
884,4,14,23,28,37,45,17,1799077282
883,9,18,32,33,37,44,22,1360519525
882,18,34,39,43,44,45,23,4127270400
881,4,18,20,26,27,32,9,2503212282
880,7,17,19,23,24,45,38,2837810465
879,1,4,10,14,15,35,20,3206361313
878,2,6,11,16,25,31,3,3207993500
877,5,17,18,22,23,43,12,1716607188
876,5,16,21,26,34,42,24,1090657856
875,19,22,30,34,39,44,36,1415946724
874,1,15,19,23,28,42,32,1117123917
873,3,5,12,13,33,39,38,1874553225
872,2,4,30,32,33,43,29,1262705579
871,2,6,12,26,30,34,38,2718071358
870,21,25,30,32,40,42,31,1928842988
869,2,6,20,27,37,39,4,1922582588
868,12,17,28,41,43,44,25,3233804250
867,14,17,19,22,24,40,41,3933755250
866,9,15,29,34,37,39,12,2240409000
865,3,15,22,32,33,45,2,1551729145
864,3,7,10,13,25,36,32,1716553637
863,16,21,28,35,39,43,12,2853357322
862,10,34,38,40,42,43,32,2190922709
861,11,17,19,21,22,25,24,4872108844
860,4,8,18,25,27,32,42,1879899825
859,8,22,35,38,39,41,24,1853927489
858,9,13,32,38,39,43,23,2202347459
857,6,10,16,28,34,38,43,1284915425
856,10,24,40,41,43,44,17,3977927550
855,8,15,17,19,43,44,7,2269510500
854,20,25,31,32,36,43,3,3421706750
853,2,8,23,26,27,44,13,2885006786
852,11,17,28,30,33,35,9,4801543407
851,14,18,22,26,31,44,40,2483692313
850,16,20,24,28,36,39,5,3377587875
849,5,13,17,29,34,39,3,1158252883
